recipient,total_amount_usd
Malaria Consortium,298131285.0
Evidence Action,205541400.0
Center for Security and Emerging Technology,105250000.0
Centre for Effective Altruism,103096319.0
Helen Keller International,102857791.0
Against Malaria Foundation,80326518.0
Gates Philanthropy Partners,70050000.0
The Humane League,62937000.0
GiveDirectly,58250000.0
nan,57452202.0
Johns Hopkins Center for Health Security,55342717.0
Just Impact,52813863.0
RAND Corporation,52028000.0
"University of California, Berkeley",46175955.0
New Incentives,41890806.0
Effective Ventures Foundation,41536386.0
"80,000 Hours",39355325.0
Mercy For Animals,38693750.0
Sightsavers,37287276.0
Stanford University,35364325.0
BlueDot Impact,32058653.0
IRD Global,31752806.0
OpenAI,30000000.0
Nuclear Threat Initiative,29520074.0
International Rescue Committee,28665802.0
