recipient,grant_count,total_amount_usd,first_year,last_year,avg_interval_years
nan,85,57452202.0,2017,2025,0.09523809523809523
"University of California, Berkeley",41,46175955.0,2016,2025,0.225
Stanford University,38,35364325.0,2017,2025,0.21621621621621623
Berkeley Existential Risk Initiative,31,13162751.0,2017,2025,0.26666666666666666
Evidence Action,30,205541400.0,2013,2024,0.3793103448275862
Rethink Priorities,24,17067477.0,2019,2025,0.2608695652173913
Center for Global Development,23,19386509.0,2013,2025,0.5454545454545454
Centre for Effective Altruism,21,103096319.0,2017,2024,0.35
FAR AI,15,19970696.0,2022,2025,0.21428571428571427
The Humane League,14,62937000.0,2016,2025,0.6923076923076923
Malaria Consortium,13,298131285.0,2017,2023,0.5
"80,000 Hours",13,39355325.0,2017,2025,0.6666666666666666
Compassion in World Farming,13,21228920.0,2017,2025,0.6666666666666666
Eurogroup for Animals,13,16205801.0,2016,2024,0.6666666666666666
Harvard University,13,15246523.0,2016,2024,0.6666666666666666
University of Pennsylvania,13,10042603.0,2016,2025,0.75
University of Oxford,12,18277143.0,2018,2025,0.6363636363636364
Centre for the Governance of AI,12,16794152.0,2020,2025,0.45454545454545453
Cambridge Boston Alignment Initiative,12,3876246.0,2023,2025,0.18181818181818182
GiveDirectly,11,58250000.0,2012,2022,1.0
Effective Ventures Foundation,11,41536386.0,2021,2024,0.3
Mercy For Animals,11,38693750.0,2016,2024,0.8
GiveWell,11,22043020.0,2014,2024,1.0
Yale University,11,3555686.0,2017,2024,0.7
RAND Corporation,10,52028000.0,2014,2025,1.2222222222222223
New Incentives,10,41890806.0,2014,2022,0.8888888888888888
Effective Ventures Foundation USA,10,28190044.0,2022,2024,0.2222222222222222
Longview Philanthropy,10,22251590.0,2022,2024,0.2222222222222222
IDinsight,10,8910900.0,2014,2025,1.2222222222222223
Court Watch NOLA,10,1312000.0,2017,2021,0.4444444444444444
Against Malaria Foundation,9,80326518.0,2012,2024,1.5
Johns Hopkins Center for Health Security,9,55342717.0,2016,2024,1.0
Sightsavers,9,37287276.0,2017,2024,0.875
Forecasting Research Institute,9,18325525.0,2022,2025,0.375
University of Southern California,9,8026348.0,2016,2024,1.0
AI Safety Support,9,7851528.0,2022,2024,0.25
University of Washington,9,5860892.0,2021,2024,0.375
New York University,9,4358190.0,2015,2024,1.125
Princeton University,9,4310264.0,2019,2025,0.75
Nuclear Threat Initiative,8,29520074.0,2017,2023,0.8571428571428571
Future of Humanity Institute,8,20439235.0,2016,2021,0.7142857142857143
Center for Popular Democracy,8,6144000.0,2014,2022,1.1428571428571428
World Animal Protection,8,5369532.0,2017,2024,1.0
Humane Society International,8,5206995.0,2016,2024,1.1428571428571428
Compassion in World Farming USA,8,5108750.0,2016,2024,1.1428571428571428
University of Chicago,8,4823596.0,2022,2025,0.42857142857142855
Life Sciences Research Foundation,8,4710850.0,2018,2025,1.0
Sightline Institute,8,2860000.0,2015,2023,1.1428571428571428
People for Animals Uttarakhand,8,1208932.0,2017,2024,1.0
Development Media International,8,1200000.0,2014,2021,1.0
